datum;kunde;produktgruppe;menge;einzelpreis;gesamtbetrag
2024-12-18;Müller GmbH;Ersatzteile;15;951.0;14265
2024-09-04;Meier Produktion GmbH;Ersatzteile;11;1342.0;14762
2024-03-14;Alpha Components GmbH;Wartung;12;3766.0;45192
2024-03-07;Alpha Components GmbH;Service;18;1169.0;21042
2024-06-12;IndustriePartner KG;Software;4;5382.0;21528
2024-08-18;IndustriePartner KG;Ersatzteile;4;203.0;812
2024-05-28;KraftWerk Solutions;Service;14;2333.0;32662
2024-03-22;Alpha Components GmbH;Service;11;1855.0;20405
2024-03-22;Meier Produktion GmbH;Service;15;4385.0;65775
2024-06-06;Meier Produktion GmbH;Maschinen;3;76946.0;230838
2024-07-20;HanseTech AG;Software;8;4524.0;36192
2024-10-25;Alpha Components GmbH;Maschinen;2;33438.0;66876
2024-09-10;Bergmann Anlagenbau;Software;10;9793.0;97930
2024-01-05;Schmidt AG;Software;5;5333.0;26665
2024-07-06;KraftWerk Solutions;Wartung;2;3781.0;7562
2024-01-27;Bergmann Anlagenbau;Service;7;3269.0;22883
2024-10-10;NordMaschinen GmbH;Maschinen;13;48046.0;624598
2024-08-18;HanseTech AG;Wartung;20;1473.0;29460
2024-03-06;Schmidt AG;Software;12;14023.0;168276
2024-06-22;HanseTech AG;Wartung;5;2130.0;10650
2024-11-04;HanseTech AG;Software;17;1659.0;28203
2024-01-24;Müller GmbH;Ersatzteile;11;1746.0;19206
2024-08-30;HanseTech AG;Software;5;10932.0;54660
2024-09-20;TechBau GmbH;Wartung;20;3109.0;62180
2024-03-24;KraftWerk Solutions;Service;10;5163.0;51630
2024-06-21;HanseTech AG;Service;18;4312.0;77616
2024-12-28;Bergmann Anlagenbau;Wartung;16;636.0;10176
2024-07-07;Alpha Components GmbH;Maschinen;14;53253.0;745542
2024-06-06;Müller GmbH;Service;16;2475.0;39600
2024-12-01;Bergmann Anlagenbau;Service;8;6209.0;49672
2024-01-27;Bergmann Anlagenbau;Software;6;9589.0;57534
2024-11-18;Bergmann Anlagenbau;Software;5;14462.0;72310
2024-12-14;IndustriePartner KG;Maschinen;19;77141.0;1465679
2024-12-24;Schmidt AG;Ersatzteile;1;1003.0;1003
2024-06-09;KraftWerk Solutions;Ersatzteile;14;1514.0;21196
2024-04-14;KraftWerk Solutions;Service;20;7840.0;156800
2024-08-29;Müller GmbH;Ersatzteile;17;524.0;8908
2024-10-14;Alpha Components GmbH;Software;17;7173.0;121941
2024-06-09;TechBau GmbH;Software;18;6608.0;118944
2024-10-06;Alpha Components GmbH;Wartung;20;4466.0;89320
2024-04-08;IndustriePartner KG;Wartung;18;2945.0;53010
2024-04-25;NordMaschinen GmbH;Wartung;7;4505.0;31535
2024-06-11;Meier Produktion GmbH;Wartung;18;2740.0;49320
2024-05-27;Schmidt AG;Service;18;3410.0;61380
2024-07-21;Alpha Components GmbH;Ersatzteile;10;186.0;1860
2024-05-27;Schmidt AG;Wartung;15;2600.0;39000
2024-09-02;IndustriePartner KG;Ersatzteile;18;655.0;11790
2024-10-14;NordMaschinen GmbH;Ersatzteile;4;1360.0;5440
2024-10-27;IndustriePartner KG;Ersatzteile;2;1471.0;2942
2024-09-28;IndustriePartner KG;Ersatzteile;2;305.0;610
2024-07-30;Alpha Components GmbH;Software;4;12160.0;48640
2024-03-11;Müller GmbH;Service;6;3633.0;21798
2024-11-30;Meier Produktion GmbH;Software;7;13384.0;93688
2024-05-27;Alpha Components GmbH;Wartung;2;1232.0;2464
2024-11-29;Bergmann Anlagenbau;Ersatzteile;18;1612.0;29016
2024-01-20;TechBau GmbH;Software;6;1595.0;9570
2024-07-22;Meier Produktion GmbH;Ersatzteile;10;1895.0;18950
2024-01-20;Müller GmbH;Wartung;19;1379.0;26201
2024-06-20;NordMaschinen GmbH;Software;18;9590.0;172620
2024-09-09;TechBau GmbH;Service;15;2535.0;38025
2024-04-08;Schmidt AG;Wartung;6;4259.0;25554
2024-11-27;NordMaschinen GmbH;Ersatzteile;1;1608.0;1608
2024-06-21;NordMaschinen GmbH;Service;7;1737.0;12159
2024-11-08;KraftWerk Solutions;Software;17;6372.0;108324
2024-02-14;KraftWerk Solutions;Maschinen;6;79335.0;476010
2024-10-29;KraftWerk Solutions;Maschinen;1;21140.0;21140
